Startup Name,Industry,Funding Rounds,Funding Amount (M USD),Valuation (M USD),Revenue (M USD),Employees,Market Share (%),Profitable,Year Founded,Region,Exit Status
AlphaAI,AI,5,120,1500,320,850,12.5,True,2018,North America,Private
FinNova,FinTech,4,95,1100,240,620,9.8,True,2017,Europe,Private
HealthSync,HealthTech,6,180,2200,410,1200,14.2,True,2016,North America,Private
EduSpark,EdTech,3,45,380,90,300,4.5,False,2020,Asia,Private
RetailX,E-Commerce,7,250,3200,720,2400,18.7,True,2015,North America,IPO
CloudNest,SaaS,4,80,900,210,500,7.2,True,2019,Europe,Private
AgriTechPro,Agriculture,2,35,250,60,180,2.8,False,2021,Asia,Private
CyberGuard,Cybersecurity,5,140,1800,350,780,11.6,True,2017,North America,Private
GreenVolt,CleanTech,3,70,650,130,420,5.7,False,2019,Europe,Private
Foodly,FoodTech,4,60,520,115,350,4.9,False,2020,Asia,Private
QuantumLeap,AI,8,400,5500,980,3100,25.5,True,2014,North America,IPO
PayBridge,FinTech,5,130,1450,330,900,10.9,True,2016,Europe,Private
MediCore,HealthTech,6,210,2800,560,1500,17.3,True,2015,North America,Private
LearnLoop,EdTech,3,55,480,110,340,5.2,False,2019,Asia,Private
ShopWave,E-Commerce,6,190,2400,620,1800,15.8,True,2016,Europe,IPO
DataSphere,SaaS,5,125,1350,290,720,9.4,True,2018,North America,Private
FarmFuture,Agriculture,2,28,220,55,150,2.3,False,2021,Asia,Private
SecureNet,Cybersecurity,4,110,1250,270,640,8.8,True,2018,Europe,Private
EcoFusion,CleanTech,3,65,700,140,390,6.1,False,2019,North America,Private
MealBox,FoodTech,4,58,510,120,330,4.7,False,2020,Asia,Private
VisionAI,AI,7,310,4200,860,2600,21.4,True,2015,North America,IPO
BankFlow,FinTech,5,145,1650,370,980,11.8,True,2017,Europe,Private
CarePlus,HealthTech,6,230,2950,610,1650,18.1,True,2015,North America,Private
SkillForge,EdTech,4,68,590,145,410,6.4,True,2018,Asia,Private
MarketHub,E-Commerce,5,175,2100,540,1600,13.6,True,2017,Europe,IPO
SkyScale,SaaS,6,160,1850,430,1200,12.2,True,2016,North America,Private
HarvestIQ,Agriculture,3,40,320,82,240,3.5,False,2020,Asia,Private
ShieldTech,Cybersecurity,5,150,1750,390,880,10.7,True,2017,Europe,Private
SolarRise,CleanTech,4,95,920,210,650,7.5,True,2018,North America,Private
QuickBite,FoodTech,4,72,640,155,450,6.2,True,2019,Asia,Private
